Name,id_Number,ExposureTime
Douglas Snelling,5.58872E+16,70
Rosa Fite,5.62482E+16,70
Shiela Cardello,6.60532E+16,70
Charles Pigeon,7.34082E+16,67
Mark Morales,4.67122E+16,67
Ann Rice,4.63402E+16,66
Jason Hodge,7.72922E+16,66
Carol Simpson,3.48742E+16,63
Donald Trapani,4.61032E+16,62
Jim Schmidt,6.90522E+16,62
John Keck,4.37012E+16,58
Maribel Manigault,6.64712E+16,58
Joanie Haig,6.02812E+16,54
Joshua Morrison,5.61632E+16,54
Deborah Kazanjian,3.76562E+16,54
Johnnie Moore,6.76562E+16,54
Todd Newton,8.51422E+16,52
Dawn Bradley,2.90562E+16,51
Joanna Sawyer,7.34812E+16,51
Shelly Marrara,9.22202E+16,51
Tracie Moreno,9.88392E+16,51
Travis Sims,5.97072E+16,51
Wilma Darby,9.42362E+16,51
Alicia Fresh,1.62522E+16,51
Ok Champlin,2.83012E+16,50
Oliva Feldman,4.74792E+16,50
Jeanette Farmer,2.12672E+16,50
Peter Humphreys,1.71822E+16,50
Paul Wynne,4.48182E+16,48
Angela Reichard,2.63872E+16,48
Jewell Harris,7.22372E+16,48
Bobby Sweet,5.65262E+16,47
Iliana Tomsic,8.85032E+16,47
Karon Dews,5.43812E+16,47
Laura Anderson,2.27672E+16,47
Nelson Gath,6.93022E+16,47
Valeria Duboise,9.15512E+16,47
Michael Karge,6.79722E+16,47
Adam Showers,4.10262E+16,46
Darrel Rauf,4.58942E+16,46
Eva Bridges,8.26072E+16,46
Greg Medders,7.56872E+16,46
Kenneth Clemons,2.32272E+16,46
Eduardo Stadther,6.00102E+16,45
Rose Jackson,1.09522E+16,45
Michelle Thorpe,8.45222E+16,44
Chris Meeks,7.35032E+16,43
Christine Downs,8.81902E+16,43
Felicia Cousins,4.47352E+16,43
James Cronin,5.66732E+16,43
Robert Macmillan,8.23222E+16,43
Donald Doughtie,4.83452E+16,43
Ervin Price,7.09852E+16,43
Jack Noble,1.90332E+16,43
Joel Wendell,2.23122E+16,43
Allen Moses,3.95022E+16,42
Anthony Mitchell,2.94622E+16,42
Dennis Meyers,8.05072E+16,42
Kathleen Gauthier,5.05992E+16,42
Bill Nash,4.45872E+16,42
Howard Gordon,2.02862E+16,42
Karen Hughes,1.83922E+16,42
Adam Mayo,9.45932E+16,41
Gene Martin,8.19552E+16,41
Gustavo Poll,8.70622E+16,41
Luz Marrero,4.13562E+16,41
Diane Streeter,4.46492E+16,40
Doyle Poe,9.19072E+16,40
Marion Loftin,2.63082E+16,40
Harold Dow,6.11102E+16,40
Pearl Santiago,7.72332E+16,39
Angie Luna,3.10972E+16,39
Ashton Hewitt,2.95042E+16,39
Bernadette Winkelman,9.59682E+16,39
Dawn Sessions,3.17072E+16,39
Deborah Raio,9.81012E+16,39
Henry Figueroa,3.21582E+16,39
Jorge Gomez,1.21412E+16,39
Dominick Smith,2.46932E+16,39
Olive Mcdaniel,1.04522E+16,39
Victoria Schwenke,4.08552E+16,39
Julie Webster,4.86972E+16,38
Lindsay Green,2.40802E+16,38
Sharon Talmadge,7.98832E+16,38
Steven Jacobsen,3.02102E+16,38
Thelma Acevedo,6.74592E+16,38
David Conrad,1.96142E+16,38
John Saunders,1.88792E+16,38
Arthur Loney,9.13702E+16,37
Casey Barrett,1.05532E+16,37
Dennis Nadeau,5.39542E+16,37
Gretchen Hutson,9.26342E+16,37
Michael Scott,3.09912E+16,37
Joseph Caruthers,6.34142E+16,37
Donald Vetter,5.41382E+16,37
Earlie Bivens,7.42562E+16,37
Edward Watkins,9.46872E+16,37
Kelley Mason,9.49642E+16,37
Anna Brawley,2.18282E+16,36
Edward Duran,7.34292E+16,36
Elsie White,5.73112E+16,36
Kenneth Walker,7.65972E+16,36
Connie Goudreau,3.56852E+16,36
Nadine Ledbetter,5.34262E+16,36
Rita Schmidt,4.34362E+16,36
Robert Melanson,5.53392E+16,36
Michael Saum,5.75952E+16,36
Aaron Benda,2.09222E+16,35
Doris Larsen,6.92462E+16,35
Gary Chan,1.87402E+16,35
Alfredo Johnson,6.32052E+16,35
Doris Shea,1.93222E+16,35
Felton Hollingsworth,3.91382E+16,35
Heather Harris,5.48842E+16,35
Kathryn Hohnstein,2.18892E+16,35
Moses Daniels,9.26272E+16,35
Sharon Mehta,6.18532E+16,35
Bessie Zavala,1.50232E+16,35
Jacob Collins,4.37092E+16,35
Mary Edgell,8.04552E+16,35
Steven Gulledge,3.93712E+16,35
Charles Fyall,7.19272E+16,34
Darlene Frediani,2.84592E+16,34
Inez Boucher,8.36482E+16,34
Boyd Ruiz,3.36182E+16,34
Christopher Mcelyea,3.67032E+16,34
Diane Klarich,3.62202E+16,34
Henry Sansom,5.93122E+16,34
Leo Hammond,1.08752E+16,34
Marlin Smith,1.51192E+16,34
Monique Anderson,1.58932E+16,34
Neva Garcia,8.72122E+16,34
Phillip Cole,5.38442E+16,34
Robert Coffey,5.85352E+16,34
Sharon Decena,9.51622E+16,34
Vernon Volpe,6.19512E+16,34
Wade Swanson,9.29172E+16,34
Wesley Robinson,4.19252E+16,34
Jina Roberts,2.46352E+16,34
Brian Watkins,8.93312E+16,34
Cindy Holdman,7.33132E+16,34
Heather Taylor,2.34682E+16,34
Larisa Verch,1.41402E+16,34
Lawerence Lumsden,4.46802E+16,34
Willie Lefebvre,3.73922E+16,34
Eugene Peterson,3.42342E+16,34
Kenneth Gilbert,1.40332E+16,34
Linda Ruiz,6.39712E+16,34
Scott Mixon,7.60612E+16,34
Dahlia Williams,4.20702E+16,33
Jamar Smith,8.22762E+16,33
Jean Dunham,6.96412E+16,33
Jodie Sacco,7.58582E+16,33
Lisa Huizenga,6.38782E+16,33
Ashley Rich,7.93312E+16,33
Effie Chacon,7.08132E+16,33
Elizabeth Davis,9.41592E+16,33
Marion Lanterman,4.55832E+16,33
Eldon Martinez,7.26362E+16,33
Brandon Jones,8.33452E+16,33
Deborah Parham,1.98722E+16,33
Johnny Dow,9.79022E+16,33
Mary Crawford,7.52182E+16,33
Paul Bentson,9.15632E+16,33
Renee Mcdonald,8.88782E+16,33
Robert Lollar,8.92492E+16,33
Robert Zubia,8.27152E+16,33
Susan Evans,7.67222E+16,33
Yolanda Seidel,5.05392E+16,33
Brenda Larrick,6.94832E+16,33
George Frierson,7.94852E+16,33
John Thomas,4.19452E+16,33
Marc Smith,1.48342E+16,33
Rita Adams,9.22322E+16,33
Tony Hall,5.90972E+16,33
Denise Williams,2.99842E+16,32
Dora Briggeman,6.90762E+16,32
Elizabeth Bickford,3.24232E+16,32
Erin Myers,3.11862E+16,32
Hannah Mays,6.51662E+16,32
Lillian Fields,8.87172E+16,32
Sheryl Manning,6.80252E+16,32
Angelina Mcdowell,1.94432E+16,32
Anthony Rose,4.54832E+16,32
Diana Wilcox,5.59992E+16,32
Jennifer Nappi,9.41902E+16,32
Louis Wheatley,7.78312E+16,32
Margaret Beddingfield,4.19242E+16,32
Mark Foulk,2.87362E+16,32
Paul Limon,1.04512E+16,32
Richard Clemente,2.40372E+16,32
Robert Parris,9.92002E+16,32
Shawn Porras,8.19932E+16,32
Walter Roper,1.05602E+16,32
Claudia Miller,7.12482E+16,32
Randall Williams,3.52132E+16,32
Della Schmitz,6.66372E+16,32
Elizabeth Lippincott,5.65792E+16,32
Linda Daniels,5.78732E+16,32
Mary Mitchell,5.92282E+16,32
Barbara Ayala,9.57532E+16,32
Cindy Cote,7.88542E+16,32
Demetrius Laflore,9.26602E+16,32
Kimberly Madden,3.54842E+16,32
Krystal Dunlap,9.96392E+16,32
Micheal Bruster,9.50922E+16,32
Richard Henson,1.75992E+16,32
Anthony Klein,8.53132E+16,31
Catherine Lindblad,1.07962E+16,31
David Melton,8.09062E+16,31
Diana Ziminski,9.26212E+16,31
George Judge,5.41442E+16,31
Lawrence Rodriguez,6.52642E+16,31
Michael Branam,9.37502E+16,31
Pauline Fowler,5.29952E+16,31
Theodore Young,8.51002E+16,31
Bobby Wilson,1.51432E+16,31
Bryan Carron,7.71752E+16,31
Curtis Johnson,1.03422E+16,31
Emily Bing,8.58042E+16,31
Jodie Wood,7.73372E+16,31
Martha Browne,7.29562E+16,31
Michael Oliver,2.26532E+16,31
Oscar Mccray,1.73022E+16,31
Rachel Arnold,9.33012E+16,31
Ramona Dewberry,7.02882E+16,31
Tracy Harper,1.24292E+16,31
Troy Copeland,7.73742E+16,31
Calvin Lansdell,3.83662E+16,31
Lillian Sellars,8.09852E+16,31
Patricia Gramc,6.39862E+16,31
Pamela Moore,1.92672E+16,31
Derrick Ramos,9.96482E+16,31
Gloria Barreto,1.14222E+16,31
Patrica Montgomery,6.48802E+16,31
Angelo Diaz,4.37662E+16,31
Denise Ruiz,3.49032E+16,31
Leroy Rumph,1.63582E+16,31
Mary Clark,3.32682E+16,31
Stephen Crownover,2.87362E+16,31
Trina Williams,3.89172E+16,31
Beverly Parker,5.59162E+16,30
Billie Stanfa,8.60782E+16,30
Charles Gallagher,1.92252E+16,30
Clarissa Gatton,6.96632E+16,30
Kati Morrison,9.27942E+16,30
Patty Arrington,8.31832E+16,30
Robert Caro,2.53072E+16,30
Anna Wissinger,4.81912E+16,30
Antonio Bagley,2.65032E+16,30
Barbara Zamora,4.47482E+16,30
Charles Dotson,7.76552E+16,30
Edward Shiflet,3.60872E+16,30
Evelyn Brookshire,9.29812E+16,30
Francisco Bailey,8.48042E+16,30
Jason Brown,2.83722E+16,30
Nancy Wooten,6.74602E+16,30
Peter Bailey,1.47472E+16,30
Ryan Williamson,1.24372E+16,30
Tara Demonbreun,6.36632E+16,30
Walter Watson,7.88282E+16,30
Warren Fitts,1.18482E+16,30
Betsy Keats,9.76302E+16,30
Eugene Zambelli,9.97172E+16,30
Lillian Gallup,9.54172E+16,30
Matthew Smith,2.28992E+16,30
Jessica Garth,5.80402E+16,30
Julie Dickman,5.80642E+16,30
Steven Singh,9.51362E+16,30
Alan Turnbow,9.24602E+16,30
Autumn Marsh,9.21132E+16,30
Beverly Banks,6.54102E+16,30
Hilary Mcnease,7.37302E+16,30
Kathleen Lee,7.06782E+16,30
Margaret Russo,7.87122E+16,30
Monica Stanford,6.97272E+16,30
Paul Bishop,7.30152E+16,30
Alex Vaughn,6.23022E+16,30
Annette Fretwell,8.26512E+16,30
Beverly Hennings,4.77472E+16,30
Bonnie Powell,7.44372E+16,30
Bridget Heath,5.11922E+16,30
Gerald Green,3.71382E+16,30
Jennifer Marter,9.35442E+16,30
Logan Bayardo,4.48352E+16,30
Mathew Vanzee,3.45692E+16,30
Sharon Brown,4.84202E+16,30
Timmy Cianciola,8.89212E+16,30
Brent Baier,5.91012E+16,29
Harriett Williams,1.03192E+16,29
Jacqueline Tiemann,4.76562E+16,29
Paul Nordman,1.68892E+16,29
Robert Long,2.79832E+16,29
Terry Stacks,2.83552E+16,29
Lauren Orosco,5.95742E+16,29
Martin Gonzalez,5.31732E+16,29
Rose Hug,4.32332E+16,29
Stephanie Lane,8.90902E+16,29
Doris Baum,2.84022E+16,29
Manuel Warrick,7.44312E+16,29
Francis Rush,7.43492E+16,29
Kevin Hall,5.10892E+16,29
Mary Johnson,8.50892E+16,29
Ricky Devins,1.44702E+16,29
Anthony Felder,6.19082E+16,29
Beatrice Foster,1.09922E+16,29
Brian Ratliff,4.91662E+16,29
David Bryan,2.72362E+16,29
Dorothy Ropp,4.73972E+16,29
Dustin Harvey,6.52392E+16,29
Lavonia Fox,3.42132E+16,29
Lorraine Heller,7.96802E+16,29
Lucille Winslow,5.62482E+16,29
Marcia Yazzie,7.90842E+16,29
Margie Wheeler,8.97742E+16,29
Samantha Johnson,6.83142E+16,29
Stephen Heim,4.13902E+16,29
Terry Albritton,5.46672E+16,29
Carol Alger,1.70012E+16,29
David Clark,7.68742E+16,29
Edna Peru,7.69822E+16,29
Elaine Mcgann,8.24582E+16,29
Jeffrey Snyder,4.89612E+16,29
Joan Thompson,6.14702E+16,29
Samuel Sperdute,1.55682E+16,29
Steven Wadley,6.79652E+16,29
Willis Allamong,9.98532E+16,29
Bonnie Hyde,7.24672E+16,28
Brian Wilson,9.29322E+16,28
Deborah Stone,8.68272E+16,28
Donald Snow,7.12172E+16,28
Jamie Hardy,5.51012E+16,28
Leroy Diaz,7.77572E+16,28
Martha Hodges,7.43462E+16,28
Mary Dahlheimer,7.03832E+16,28
Michael Bautista,8.11692E+16,28
Newton Baxter,5.61982E+16,28
Rebecca Grover,8.94192E+16,28
Tammy Miller,7.25132E+16,28
Timothy Smith,3.32052E+16,28
Ann Lentz,2.73332E+16,28
Billy Bahner,9.45022E+16,28
Brandon Schrader,8.23142E+16,28
Cathy Anderson,2.89982E+16,28
Daniel Wilson,2.00802E+16,28
Darrel Durk,9.78592E+16,28
David Lentz,6.12612E+16,28
Erika Floyd,2.08362E+16,28
Fred Pitts,4.61892E+16,28
Gerald Hathaway,4.14802E+16,28
Hector Gregory,5.43872E+16,28
James Colter,6.81182E+16,28
Kenneth Welker,8.11762E+16,28
Leona Yarbrough,7.42712E+16,28
Maria Thayer,6.87592E+16,28
Max Eliezrie,6.66422E+16,28
Randy Covert,5.43902E+16,28
